"roi_id","section_id","metabolite_acetylalanine","metabolite_acetylaspartic_acid","metabolite_acetylglucosamine","metabolite_acetylhistidine","metabolite_acetylleucine","metabolite_acetylneuraminic_acid","metabolite_acetylproline","metabolite_acetylvaline","metabolite_aconitic_acid","metabolite_alanine","metabolite_allantoin","metabolite_aminomuconic_acid","metabolite_anserine","metabolite_ascorbic_acid","metabolite_asparagine","metabolite_aspartate","metabolite_aspartyllysine","metabolite_creatine","metabolite_cystine","metabolite_cytidine","metabolite_deoxyinosine","metabolite_diacetyl","metabolite_fumarate","metabolite_gamma_aminobutyrate","metabolite_gluconic_acid","metabolite_glucose","metabolite_glucuronic_acid","metabolite_glu_glu","metabolite_glutamate","metabolite_glutamine","metabolite_glycerol_phosphate","metabolite_glycerylphosphorylethanolamine","metabolite_glycholic_acid","metabolite_hexose_monophosphate","metabolite_hippuric_acid","metabolite_hydroxymethylglutaric_acid","metabolite_hypoxanthine","metabolite_imp","metabolite_inosine","metabolite_itaconate","metabolite_kynurenate","metabolite_malate","metabolite_malonate","metabolite_mannitol","metabolite_methylhippuric_acid","metabolite_oxalate","metabolite_pantothenic_acid","metabolite_propanoyl_phosphate","metabolite_pyroglutamate","metabolite_serine","metabolite_succinyl_homoserine","metabolite_sucrose","metabolite_taurine","metabolite_ump","metabolite_uridine","metabolite_urocanate","metabolite_xanthine"
"cortex","kasarla2025_kidney_serial_sections",15.7866666666667,790.963333333333,688.66,1.77,2.18666666666667,228.25,3.15333333333333,16.5133333333333,3974.16,1482.81333333333,2159.93333333333,193.326666666667,279.053333333333,6537.57,356.35,14121.4233333333,5636.94,1.55666666666667,435.623333333333,210.1,31.4433333333333,37.0233333333333,3652.57,2218.84,5816.12,88911.7166666667,2127.57,15838.9933333333,54721.61,10347.82,11356.45,9437.62333333333,4849.71666666667,354.293333333333,240.853333333333,147.666666666667,1463.74333333333,7.97333333333333,691.8,441.37,11.0933333333333,25195.8,3.14,237.313333333333,584.416666666667,1.52666666666667,422.013333333333,2560.83666666667,9993.87666666667,25.98,158.913333333333,212.9,23541.1033333333,390.526666666667,419.976666666667,0.113333333333333,2151.24
"medulla","kasarla2025_kidney_serial_sections",0.373333333333333,102.256666666667,55.5966666666667,0,8.27,41.01,0.316666666666667,1.33333333333333,2738.18666666667,2260.10333333333,3291.03666666667,96.01,2.00666666666667,4035.78,19.5566666666667,23425.9933333333,1392.13333333333,0,31.6666666666667,1261.18333333333,11.6733333333333,1.47,2339.24,1837.10333333333,5500.55666666667,203532.713333333,1760.18666666667,1632.86333333333,43001.7766666667,8783.38333333333,1859.67,13554.6033333333,8174.33,24.5,159.913333333333,14.6566666666667,89.92,0,14.7333333333333,68.0366666666667,0.15,11591.4866666667,0,2954.54,336.406666666667,0,19.5933333333333,35.8733333333333,4783.03,0.143333333333333,3.33666666666667,24.1733333333333,15257.2033333333,19.9033333333333,38.55,0,890.01
"renal_pelvis","kasarla2025_kidney_serial_sections",3.52333333333333,1878.91,1957.09666666667,57.49,1164.00333333333,925.663333333333,3.09333333333333,980.446666666667,6640.44666666667,1231.26333333333,16620.9133333333,2333.08,0.15,6448.07666666667,346.473333333333,11671.1366666667,389.76,0,10.8266666666667,2468.73333333333,0.713333333333333,583.61,1161.19666666667,1015.57333333333,20928.96,58782.2966666667,7018.11,513.476666666667,25168.3366666667,8797.25,1648.46,8809.65,4834.76333333333,8.18333333333333,2543.39333333333,538.243333333333,6.26,0,15.62,1581.71333333333,524.766666666667,5277.71,21.7933333333333,70918.8266666667,4811.34,1.32666666666667,91.7366666666667,161.406666666667,3274.6,14.2066666666667,774.4,19.9766666666667,8317.52333333333,16.5166666666667,1536.98666666667,0.126666666666667,247.906666666667
